nitrogen,phosphorus,potassium,temperature,humidity,rainfall,ph,crop_label
90,40,40,25,60,120,6.5,Rice
80,30,35,22,55,100,6.8,Wheat
100,50,60,30,70,150,7.0,Sugarcane
70,20,30,28,50,80,6.2,Cotton
60,25,35,26,45,90,6.5,Maize
50,30,40,24,55,110,6.0,Pulses
85,35,45,27,60,130,6.8,Rice
75,25,30,21,50,95,6.5,Wheat
110,55,65,31,75,160,7.2,Sugarcane
65,22,32,29,52,85,6.3,Cotton
55,28,38,25,48,95,6.1,Maize
45,32,42,23,58,115,5.8,Pulses
92,42,42,26,62,125,6.6,Rice
82,32,37,23,57,105,6.9,Wheat
105,52,62,32,72,155,7.1,Sugarcane
72,21,31,27,49,82,6.1,Cotton
62,26,36,25,46,92,6.4,Maize
52,31,41,22,56,112,5.9,Pulses
88,38,38,24,58,118,6.4,Rice
78,28,33,20,53,98,6.7,Wheat
108,53,63,30,73,158,7.0,Sugarcane
68,23,33,28,51,83,6.2,Cotton
58,27,37,24,47,93,6.3,Maize
48,33,43,21,57,113,5.7,Pulses
95,45,45,27,65,135,6.7,Rice
85,35,40,24,60,110,7.0,Wheat
115,58,68,33,78,165,7.3,Sugarcane
75,24,34,30,54,88,6.4,Cotton
65,29,39,26,49,98,6.5,Maize
55,34,44,23,59,118,6.0,Pulses
70,35,50,24,55,100,6.5,Tomato
65,30,45,26,50,90,6.3,Onion
80,40,55,22,60,110,6.8,Brinjal
55,25,40,28,45,75,6.0,Okra
60,30,45,20,65,120,6.2,Cabbage
75,35,50,18,70,130,6.4,Cauliflower
50,20,35,25,50,85,6.1,Carrot
85,45,60,23,55,95,6.6,Chili
72,36,52,25,56,102,6.6,Tomato
67,31,47,27,51,92,6.4,Onion
82,42,57,23,61,112,6.9,Brinjal
57,26,41,29,46,77,6.1,Okra
62,31,46,21,66,122,6.3,Cabbage
77,36,51,19,71,132,6.5,Cauliflower
52,21,36,26,51,87,6.2,Carrot
87,46,61,24,56,97,6.7,Chili
68,34,48,23,54,98,6.4,Tomato
63,29,43,25,49,88,6.2,Onion
78,38,53,21,59,108,6.7,Brinjal
53,24,38,27,44,73,5.9,Okra
58,28,43,19,64,118,6.1,Cabbage
73,33,48,17,69,128,6.3,Cauliflower
48,18,33,24,49,83,6.0,Carrot
83,43,58,22,54,93,6.5,Chili
74,37,51,26,57,104,6.7,Tomato
69,32,46,28,52,94,6.5,Onion
84,41,56,24,62,114,7.0,Brinjal
59,27,42,30,47,79,6.2,Okra
64,32,47,22,67,124,6.4,Cabbage
79,37,52,20,72,134,6.6,Cauliflower
54,22,37,27,52,89,6.3,Carrot
89,47,62,25,57,99,6.8,Chili
71,35,49,24,55,101,6.5,Tomato
