farmer_id,region,land_area,soil_type,water_availability,nitrogen,phosphorus,potassium,ph,selected_crop,area_allocated
F001,Chennai,5.2,Clay,High,88,38,42,6.4,Rice,4.5
F002,Chennai,3.8,Loam,Medium,75,32,36,6.7,Wheat,3.2
F003,Chennai,6.5,Sandy,Low,62,28,34,6.2,Maize,5.0
F004,Chennai,4.1,Clay,High,95,45,48,6.8,Sugarcane,3.8
F005,Chennai,2.9,Loam,Medium,58,26,32,6.0,Cotton,2.5
F006,Chennai,5.8,Sandy,Low,48,30,38,5.9,Pulses,4.2
F007,Chennai,3.5,Clay,High,82,36,40,6.5,Groundnut,3.0
F008,Chennai,4.7,Loam,Medium,70,34,38,6.3,Millet,4.0
F009,Chennai,6.2,Sandy,High,72,36,50,6.5,Tomato,5.5
F010,Chennai,3.2,Clay,Medium,68,32,46,6.3,Onion,2.8
F011,Chennai,5.0,Loam,High,82,40,56,6.8,Brinjal,4.5
F012,Chennai,2.5,Sandy,Low,56,26,40,6.0,Okra,2.0
F013,Chennai,4.4,Clay,Medium,62,30,46,6.2,Cabbage,3.8
F014,Chennai,3.9,Loam,High,78,36,52,6.4,Cauliflower,3.5
F015,Chennai,5.5,Sandy,Medium,52,22,36,6.1,Carrot,4.8
F016,Chennai,2.8,Clay,Low,88,46,62,6.6,Chili,2.3
F017,Coimbatore,4.8,Clay,High,85,36,40,6.3,Rice,4.2
F018,Coimbatore,3.5,Loam,Medium,72,30,34,6.6,Wheat,3.0
F019,Coimbatore,6.0,Sandy,Low,60,26,32,6.1,Maize,5.2
F020,Coimbatore,4.0,Clay,High,92,43,46,6.7,Sugarcane,3.6
F021,Coimbatore,2.7,Loam,Medium,56,24,30,5.9,Cotton,2.3
F022,Coimbatore,5.5,Sandy,Low,46,28,36,5.8,Pulses,4.0
F023,Coimbatore,3.3,Clay,High,80,34,38,6.4,Groundnut,2.8
F024,Coimbatore,4.5,Loam,Medium,68,32,36,6.2,Millet,3.8
F025,Coimbatore,6.0,Sandy,High,70,34,48,6.4,Tomato,5.3
F026,Coimbatore,3.0,Clay,Medium,66,30,44,6.2,Onion,2.6
F027,Coimbatore,4.8,Loam,High,80,38,54,6.7,Brinjal,4.3
F028,Coimbatore,2.3,Sandy,Low,54,24,38,5.9,Okra,1.8
F029,Coimbatore,4.2,Clay,Medium,60,28,44,6.1,Cabbage,3.6
F030,Coimbatore,3.7,Loam,High,76,34,50,6.3,Cauliflower,3.3
