crop_name,region,year,month,avg_price,total_arrivals,seasonal_index,festival_flag
Rice,Chennai,2023,1,2200,5000,1.2,0
Wheat,Coimbatore,2023,1,2100,4500,1.1,0
Maize,Madurai,2023,1,1800,3000,1.0,0
Cotton,Salem,2023,1,5500,2000,1.3,0
Sugarcane,Tiruchirappalli,2023,1,3200,6000,1.1,0
Groundnut,Erode,2023,1,4800,2500,1.2,0
Pulses,Tirunelveli,2023,1,6500,1500,1.4,0
Millet,Vellore,2023,1,2500,1800,1.0,0
Tomato,Chennai,2023,1,1800,3500,1.5,0
Onion,Coimbatore,2023,1,2400,4200,1.3,0
Brinjal,Madurai,2023,1,2200,2800,1.2,0
Okra,Salem,2023,1,2600,2200,1.4,0
Cabbage,Tiruchirappalli,2023,1,1500,3000,1.1,0
Cauliflower,Erode,2023,1,2800,2400,1.3,0
Carrot,Tirunelveli,2023,1,2000,1900,1.2,0
Chili,Vellore,2023,1,8500,1200,1.6,0
Rice,Thoothukudi,2023,2,2250,5100,1.2,0
Wheat,Dindigul,2023,2,2150,4600,1.1,0
Maize,Chennai,2023,2,1850,3100,1.0,0
Cotton,Coimbatore,2023,2,5600,2100,1.3,0
Sugarcane,Madurai,2023,2,3250,6100,1.1,0
Groundnut,Salem,2023,2,4850,2600,1.2,0
Pulses,Tiruchirappalli,2023,2,6600,1600,1.4,0
Millet,Erode,2023,2,2550,1900,1.0,0
Tomato,Tirunelveli,2023,2,1850,3600,1.5,0
Onion,Vellore,2023,2,2450,4300,1.3,0
Brinjal,Thoothukudi,2023,2,2250,2900,1.2,0
Okra,Dindigul,2023,2,2650,2300,1.4,0
Cabbage,Chennai,2023,2,1550,3100,1.1,0
Cauliflower,Coimbatore,2023,2,2850,2500,1.3,0
Carrot,Madurai,2023,2,2050,2000,1.2,0
Chili,Salem,2023,2,8600,1250,1.6,0
Rice,Tiruchirappalli,2023,3,2300,5200,1.3,1
Wheat,Erode,2023,3,2200,4700,1.2,1
Maize,Tirunelveli,2023,3,1900,3200,1.1,0
Cotton,Vellore,2023,3,5700,2200,1.4,0
Sugarcane,Thoothukudi,2023,3,3300,6200,1.2,0
Groundnut,Dindigul,2023,3,4900,2700,1.3,1
Pulses,Chennai,2023,3,6700,1700,1.5,1
Millet,Coimbatore,2023,3,2600,2000,1.1,0
Tomato,Madurai,2023,3,1900,3700,1.6,1
Onion,Salem,2023,3,2500,4400,1.4,1
Brinjal,Tiruchirappalli,2023,3,2300,3000,1.3,0
Okra,Erode,2023,3,2700,2400,1.5,0
Cabbage,Tirunelveli,2023,3,1600,3200,1.2,0
Cauliflower,Vellore,2023,3,2900,2600,1.4,0
Carrot,Thoothukudi,2023,3,2100,2100,1.3,0
Chili,Dindigul,2023,3,8700,1300,1.7,1
Rice,Chennai,2023,4,2350,5300,1.3,0
Wheat,Coimbatore,2023,4,2250,4800,1.2,0
Maize,Madurai,2023,4,1950,3300,1.1,0
Cotton,Salem,2023,4,5800,2300,1.4,0
Sugarcane,Tiruchirappalli,2023,4,3350,6300,1.2,0
Groundnut,Erode,2023,4,4950,2800,1.3,0
Pulses,Tirunelveli,2023,4,6800,1800,1.5,0
Millet,Vellore,2023,4,2650,2100,1.1,0
Tomato,Thoothukudi,2023,4,1950,3800,1.6,0
Onion,Dindigul,2023,4,2550,4500,1.4,0
Brinjal,Chennai,2023,4,2350,3100,1.3,0
Okra,Coimbatore,2023,4,2750,2500,1.5,0
Cabbage,Madurai,2023,4,1650,3300,1.2,0
Cauliflower,Salem,2023,4,2950,2700,1.4,0
Carrot,Tiruchirappalli,2023,4,2150,2200,1.3,0
Chili,Erode,2023,4,8800,1350,1.7,0
Rice,Tirunelveli,2023,5,2400,5400,1.4,0
Wheat,Vellore,2023,5,2300,4900,1.3,0
Maize,Thoothukudi,2023,5,2000,3400,1.2,0
Cotton,Dindigul,2023,5,5900,2400,1.5,0
Sugarcane,Chennai,2023,5,3400,6400,1.3,0
Groundnut,Coimbatore,2023,5,5000,2900,1.4,1
Pulses,Madurai,2023,5,6900,1900,1.6,1
Millet,Salem,2023,5,2700,2200,1.2,0
Tomato,Tiruchirappalli,2023,5,2000,3900,1.7,0
Onion,Erode,2023,5,2600,4600,1.5,0
Brinjal,Tirunelveli,2023,5,2400,3200,1.4,0
Okra,Vellore,2023,5,2800,2600,1.6,0
Cabbage,Thoothukudi,2023,5,1700,3400,1.3,0
Cauliflower,Dindigul,2023,5,3000,2800,1.5,0
Carrot,Chennai,2023,5,2200,2300,1.4,0
Chili,Coimbatore,2023,5,8900,1400,1.8,1
Rice,Madurai,2023,6,2450,5500,1.4,0
Wheat,Salem,2023,6,2350,5000,1.3,0
Maize,Tiruchirappalli,2023,6,2050,3500,1.2,0
Cotton,Erode,2023,6,6000,2500,1.5,0
Sugarcane,Tirunelveli,2023,6,3450,6500,1.3,0
Groundnut,Vellore,2023,6,5050,3000,1.4,0
Pulses,Thoothukudi,2023,6,7000,2000,1.6,0
Millet,Dindigul,2023,6,2750,2300,1.2,0
Tomato,Chennai,2023,6,2050,4000,1.7,0
Onion,Coimbatore,2023,6,2650,4700,1.5,0
Brinjal,Madurai,2023,6,2450,3300,1.4,0
Okra,Salem,2023,6,2850,2700,1.6,0
Cabbage,Tiruchirappalli,2023,6,1750,3500,1.3,0
Cauliflower,Erode,2023,6,3050,2900,1.5,0
Carrot,Tirunelveli,2023,6,2250,2400,1.4,0
Chili,Vellore,2023,6,9000,1450,1.8,0
Rice,Thoothukudi,2023,7,2500,5600,1.5,1
Wheat,Dindigul,2023,7,2400,5100,1.4,1
Maize,Chennai,2023,7,2100,3600,1.3,0
Cotton,Coimbatore,2023,7,6100,2600,1.6,0
Sugarcane,Madurai,2023,7,3500,6600,1.4,0
Groundnut,Salem,2023,7,5100,3100,1.5,1
Pulses,Tiruchirappalli,2023,7,7100,2100,1.7,1
Millet,Erode,2023,7,2800,2400,1.3,0
Tomato,Tirunelveli,2023,7,2100,4100,1.8,0
Onion,Vellore,2023,7,2700,4800,1.6,0
Brinjal,Thoothukudi,2023,7,2500,3400,1.5,0
Okra,Dindigul,2023,7,2900,2800,1.7,0
Cabbage,Chennai,2023,7,1800,3600,1.4,0
Cauliflower,Coimbatore,2023,7,3100,3000,1.6,0
Carrot,Madurai,2023,7,2300,2500,1.5,0
Chili,Salem,2023,7,9100,1500,1.9,1
Rice,Tiruchirappalli,2023,8,2550,5700,1.5,0
Wheat,Erode,2023,8,2450,5200,1.4,0
Maize,Tirunelveli,2023,8,2150,3700,1.3,0
Cotton,Vellore,2023,8,6200,2700,1.6,0
Sugarcane,Thoothukudi,2023,8,3550,6700,1.4,0
Groundnut,Dindigul,2023,8,5150,3200,1.5,0
Pulses,Chennai,2023,8,7200,2200,1.7,0
Millet,Coimbatore,2023,8,2850,2500,1.3,0
Tomato,Madurai,2023,8,2150,4200,1.8,0
Onion,Salem,2023,8,2750,4900,1.6,0
Brinjal,Tiruchirappalli,2023,8,2550,3500,1.5,0
Okra,Erode,2023,8,2950,2900,1.7,0
Cabbage,Tirunelveli,2023,8,1850,3700,1.4,0
Cauliflower,Vellore,2023,8,3150,3100,1.6,0
Carrot,Thoothukudi,2023,8,2350,2600,1.5,0
Chili,Dindigul,2023,8,9200,1550,1.9,0
Rice,Chennai,2023,9,2600,5800,1.6,1
Wheat,Coimbatore,2023,9,2500,5300,1.5,1
Maize,Madurai,2023,9,2200,3800,1.4,0
Cotton,Salem,2023,9,6300,2800,1.7,0
Sugarcane,Tiruchirappalli,2023,9,3600,6800,1.5,0
