region,crop_name,expected_demand,current_supply,area_allocated,farmer_count
Chennai,Rice,45000,42000,1200,350
Chennai,Wheat,38000,35000,950,280
Chennai,Maize,25000,23000,650,180
Chennai,Cotton,15000,14000,400,95
Chennai,Sugarcane,55000,52000,1500,420
Chennai,Groundnut,22000,20000,580,165
Chennai,Pulses,18000,16500,480,140
Chennai,Millet,12000,11000,320,90
Chennai,Tomato,32000,29000,850,245
Chennai,Onion,38000,35000,980,285
Chennai,Brinjal,26000,24000,680,195
Chennai,Okra,20000,18500,520,150
Chennai,Cabbage,18000,16500,480,140
Chennai,Cauliflower,22000,20000,580,165
Chennai,Carrot,16000,14500,420,120
Chennai,Chili,8000,7200,210,60
Coimbatore,Rice,42000,39000,1100,320
Coimbatore,Wheat,35000,32500,880,260
Coimbatore,Maize,23000,21500,600,170
Coimbatore,Cotton,14000,13000,372,90
Coimbatore,Sugarcane,52000,49000,1400,395
Coimbatore,Groundnut,20000,18500,530,152
Coimbatore,Pulses,16500,15200,440,128
Coimbatore,Millet,11000,10200,295,82
Coimbatore,Tomato,30000,27500,790,228
Coimbatore,Onion,35000,32500,911,266
Coimbatore,Brinjal,24000,22200,630,182
Coimbatore,Okra,18500,17000,480,138
Coimbatore,Cabbage,16500,15200,440,128
Coimbatore,Cauliflower,20000,18500,530,152
Coimbatore,Carrot,14500,13300,380,110
Coimbatore,Chili,7500,6800,212,72
Madurai,Rice,38000,35500,1000,290
Madurai,Wheat,32000,29800,800,235
Madurai,Maize,21000,19500,550,155
Madurai,Cotton,12500,11800,335,80
Madurai,Sugarcane,48000,45000,1280,360
Madurai,Groundnut,18000,16800,480,138
Madurai,Pulses,15000,14000,400,115
Madurai,Millet,10000,9300,265,75
Madurai,Tomato,27000,25000,720,208
Madurai,Onion,32000,29800,830,242
Madurai,Brinjal,22000,20400,580,168
Madurai,Okra,17000,15700,440,127
Madurai,Cabbage,15000,14000,400,115
Madurai,Cauliflower,18000,16800,480,138
Madurai,Carrot,13000,12100,345,99
Madurai,Chili,6800,6200,178,50
Salem,Rice,35000,32800,920,268
Salem,Wheat,29000,27000,730,213
Salem,Maize,19000,17800,500,142
Salem,Cotton,11500,10800,305,73
Salem,Sugarcane,44000,41200,1180,332
Salem,Groundnut,16500,15400,440,127
Salem,Pulses,13800,12900,368,106
Salem,Millet,9200,8600,245,69
Salem,Tomato,25000,23200,665,193
Salem,Onion,29500,27500,765,223
Salem,Brinjal,20000,18600,530,154
Salem,Okra,15500,14400,405,117
Salem,Cabbage,13800,12900,368,106
Salem,Cauliflower,16500,15400,440,127
Salem,Carrot,12000,11200,318,92
Salem,Chili,6200,5700,167,50
Tiruchirappalli,Rice,40000,37500,1050,305
Tiruchirappalli,Wheat,33500,31200,840,245
Tiruchirappalli,Maize,22000,20500,580,163
Tiruchirappalli,Cotton,13200,12400,350,84
Tiruchirappalli,Sugarcane,50000,47000,1350,378
Tiruchirappalli,Groundnut,19000,17700,505,145
Tiruchirappalli,Pulses,15800,14700,420,121
Tiruchirappalli,Millet,10500,9800,280,79
Tiruchirappalli,Tomato,28500,26400,760,220
Tiruchirappalli,Onion,33500,31200,870,253
Tiruchirappalli,Brinjal,23000,21400,610,177
Tiruchirappalli,Okra,17800,16500,465,134
Tiruchirappalli,Cabbage,15800,14700,420,121
Tiruchirappalli,Cauliflower,19000,17700,505,145
Tiruchirappalli,Carrot,13800,12800,365,105
Tiruchirappalli,Chili,7100,6500,186,53
Erode,Rice,33000,30800,870,253
Erode,Wheat,27500,25600,690,201
Erode,Maize,18000,16800,475,134
Erode,Cotton,10800,10100,288,69
Erode,Sugarcane,41000,38400,1100,310
Erode,Groundnut,15500,14400,412,119
Erode,Pulses,13000,12100,345,100
Erode,Millet,8700,8100,232,65
Erode,Tomato,23500,21800,625,181
Erode,Onion,27800,25900,722,210
Erode,Brinjal,19000,17700,502,146
Erode,Okra,14600,13600,382,110
Erode,Cabbage,13000,12100,345,100
Erode,Cauliflower,15500,14400,412,119
